,Toilet Name,Area,Location,Provider,Latitude,Longitiude,Eastings,Northings,Postcode,Grid Ref,Location Notes:,24 hours,Open,Closed,Days of the Week open,Open Season - Summer,Closed Season-Winter,Time Notes:,Male,Female,Unisex,Disabled,RADAR,Baby Change,Location of Baby Change,Attendant,Automatic?,Special Provisons,Car Parking, Cost ,Report Problems,Date,Data Collected from,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheshire West and Chester ,/,Hoole,"Hoole Library, Hoole Community Centre, Westminster Road, Hoole, ",/,/,/,/,/,CH2 3AU,/,/,/,/,/,/,/,/,/,1,1,0,1,No,0,/,/,/,/,/, / ,/,10/04/2014,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheshire West and Chester ,/,Neston,"Neston Library, Parkgate Road",/,/,/,/,/,CH64 6QE,/,/,/,/,/,/,/,/,/,0,0,1,1,No,1,/,/,/,/,/, / ,/,10/04/2014,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheshire West and Chester ,/,Northwich,"Northwich Library, Witton Street ",/,/,/,/,/,CW9 5DR,/,/,/,/,/,/,/,/,/,0,0,1,1,No,0,/,/,/,/,/, / ,/,10/04/2014,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheshire West and Chester ,/,Wharton,"Wharton Library, Willow Square",/,/,/,/,/,CW7 3HP,/,/,/,/,/,/,/,/,/,1,1,0,1,Yes,1,/,/,/,/,/, / ,/,10/04/2014,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheshire West and Chester ,/,Winsford,"High Street, Winsford, ",/,/,/,/,/,CW7 2AS,/,/,/,/,/,/,/,/,/,1,1,0,1,Yes,1,/,/,/,/,/, / ,/,10/04/2014,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halton,/,Widnes,Albert Square,/,/,/,/,/,WA8 6JW,/,/,/,09.00-17.00,17.00 - 09.00,Monday to Saturday,/,/,/,1,1,0,0,/,1,F,/,/,/,/, No Charge ,/,09/04/2013,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halton,/,Runcorn,Fryer Street,/,/,/,/,/, WA7 1ND,/,/,/,09.00-17.00,17.00 - 09.00,Monday to Saturday,/,/,/,0,0,1,1,Yes,1,Unisex,/,/,/,/, No Charge ,/,09/04/2013,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halton,/,Runcorn,"Runcorn Library, Granville Street",/,/,/,/,/,WA7 1NE,/,/,/,09.00-17.00,17.00 - 09.00,"Monday, Tuesday - Friday",/,/,Saturday: 09.00 - 13.00,0,0,1,0,No,1,Unisex,/,/,/,/, No Charge ,/,09/04/2013,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halton,/,Runcorn,"Halton Library, Halton Lea",/,/,/,/,/, WA7 2PF,/,/,/,09.00 - 17.00,17.00 - 09.00,Monday - Friday,/,/,Saturday: 09.00 - 13.00,0,0,1,0,No,1,Unisex,/,/,/,/, No Charge ,/,09/04/2013,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halton,/,Runcorn,"Kingsway Library, Halton Lea",/,/,/,/,/,WA8 7QY,/,/,/,09.00 - 17.00,17.00 - 09.00,Monday - Friday,/,/,Saturday: 09.00 - 13.00,1,1,0,0,No,1,Unisex,/,/,/,/, No Charge ,/,09/04/2013,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halton,/,Widnes,Victoria Park,/,/,/,/,/,WA8 6PX,/,/,/,10.00 - 17.00,17.00-10.00,/,/,/,/,0,0,1,0,No,1,Unisex,/,/,/,/, No Charge ,/,09/04/2013,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halton,/,Runcorn,"Castlefields Community Centre, Tyrrell Way, Castlefields",/,/,/,/,/,WA7 2HR,/,/,/,09.00 - 21.00,21.00 - 09.00,Monday - Thursday,/,/,Friday: 09.00 - 20.00,1,1,0,0,No,1,M/F,/,/,/,/, No Charge ,/,09/04/2013,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halton,/,Widnes,"Widnes Market, Bradley Way, Greenoaks",/,/,/,/,/,WA8 6UE,/,/,/,09.00 - 17.00,17.00 - 09.00,"Monday, Wednesday - Saturday",/,/,/,0,0,1,1,Yes,0,/,/,/,/,/, No Charge ,/,09/04/2013,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halton,/,Runcorn,"The Brindley, High Street",/,/,/,/,/,WA7 1BG,/,/,/,10.00 - 17.00,17.00-10.00,Monday - Saturday,/,/,Various hours depending on events,0,0,1,0,No,1,M/F,/,/,/,/, No Charge ,/,09/04/2013,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halton,/,Runcorn,"Grangeway Community Centre, Grangeway",/,/,/,/,/,WA7 5HA,/,/,/,09.00 - 21.00,21.00 - 09.00,Monday - Thursday,/,/,Friday: 09.00 - 17.00 / Saturday: 10.00 - 16.00,0,0,1,0,No,1,F,/,/,/,/, No Charge ,/,09/04/2013,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halton,/,Runcorn,"Murdishaw Community Centre, Barnfield Avenue",/,/,/,/,/,WA7 6EP,/,/,/,09.00 - 21.00,21.00 - 09.00,Monday - Thursday,/,/,Friday: 09.00 - 17.00 / Saturday: 09.00 - 12.00,1,1,0,0,No,1,M/F,/,/,/,/, No Charge ,/,09/04/2013,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halton,/,Widnes,"Ditton Community Centre, Dundalk Road",/,/,/,/,/,WA8 8DF,/,/,/,09.00 - 21.00,21.00 - 09.00,Monday - Friday,/,/,Saturday: 10.00 - 14.00 / Sunday: 10.00 - 16.00,0,0,1,0,No,1,Unisex,/,/,/,/, No Charge ,/,09/04/2013,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halton,/,Widnes,"Upton Community Centre, Hough Green Road",/,/,/,/,/,WA8 4PF,/,/,/,09.00 - 21.00,21.00 - 09.00,Monday - Friday,/,/,Saturday & Sunday: 09.00 - 12.00,0,0,1,0,No,/,/,/,/,/,/, No Charge ,/,09/04/2013,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warrington,/,"Lymm, Cheshire",Church Road,/,/,/,368235,386883,WA13 0QQ,/,/,1,/,/,/,/,/,/,0,0,1,1,YES,0,/,/,Yes,/,/, £0.20 ,/,21/03/2014,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warrington,/,"Lymm, Cheshire",Pepper Street,/,/,/,368883,387238,WA13 0HB,/,/,1,/,/,/,/,/,/,0,0,1,0,/,0,/,/,Yes,/,/, £0.20 ,/,21/03/2014,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warrington,/,"Latchford, Warrington",Knutsford Road,/,/,/,362766,387115,WA4 1JY,/,/,1,/,/,/,/,/,/,0,0,1,0,/,0,/,/,Yes,/,/, £0.20 ,/,21/03/2014,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warrington,/,"Walton, Warrington","Walton Hall & Gardens, Walton Lea Road",/,/,/,359992,385128,WA4 6SN,/,/,/,08.00 - Dusk,Dusk - 08.00,/,/,/,/,1,1,0,1,No,1,F,/,/,/,/, No Charge ,/,21/03/2014,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warrington,/,Warrington,Horsemarket Street,/,/,/,360592,388393,WA1 1TF,/,/,/,05.30 - 23.30,23.30 - 05.30,/,/,/,/,1,1,0,1,YES,1,U,/,/,/,/, 0.2 - (excludes disabled wc and baby change facility) ,/,21/03/2014,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warrington,/,Warrington,"Warrington Retail Market, Bank Street",/,/,/,360731,388105,WA1 2AP,/,/,/,09.00 - 16.30,16.30 - 09.00,/,/,/,/,1,1,0,1,No,1,D,/,/,/,/, No Charge ,/,21/03/2014,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warrington,/,Hatters,Horsemarket Street,/,/,/,388340,360620,WA1 1XP,/,/,/,09:00 - 17:00,17.00 - 09.00,/,/,/,/,1,1,0,0,/,0,/,/,/,/,/, No Charge ,/,24/03/2014,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barrow-in-Furness,/,Dalton in Furness,Tudor Square ,/,-3.17732,54.15785,/,/,/,/,/,/,08.00 - 18.00,18.00 - 08.00,/,/,/,/,1,1,0,1,/,1,M+F,/,/,/,/, No Charge ,/,02/04/2014,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barrow-in-Furness,/,Barrow in Furness," Roanhead, Oaklea Road",/,-3.22601,54.16952,/,/,/,/,/,/,08.00 - 18.00,18.00 - 08.00,/,/,/,/,1,1,0,0,/,0,/,/,/,/,/, No Charge ,/,02/04/2014,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barrow-in-Furness,/,Barrow in Furness,"Earnse Bay, West shore Road",/,-3.27022,54.11859,/,/,/,/,/,/,08.00 - 18.00,18.00 - 08.00,/,/,/,/,1,1,0,1,/,1,F,/,/,/,/, No Charge ,/,02/04/2014,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barrow-in-Furness,/,Barrow in Furness,"Roa Island, Piel street",/,-31748,5407458,/,/,/,/,/,/,08.00 - 18.00,18.00 - 08.00,/,/,/,/,1,1,0,1,/,1,M+F,/,/,/,/, No Charge ,/,02/04/2014,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barrow-in-Furness,/,Barrow in Furness,Fell Street,/,-3.22489,54.11397,/,/,/,/,/,/,08.00 - 18.00,18.00 - 08.00,/,/,/,/,1,1,0,1,/,1,F+D,/,/,/,/, No Charge ,/,02/04/2014,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barrow-in-Furness,/,Barrow Public Park ,Park Pavilion,/,-3.21698,54.11747,/,/,/,/,/,/,08.00 - 18.00,18.00 - 08.00,/,/,/,/,1,1,0,1,/,1,M/F/D,/,/,/,/, No Charge ,/,02/04/2014,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlisle,/,/,Town Dyke Orchard,/,/,/,/,/,CA3 8AU,/,/,/,07.00 - 18.00,18.00 - 07.00,/,/,/,/,1,1,0,1,Yes,1,M/F,/,/,/,/, / ,,15/03/2014,http://www.carlisle.gov.uk/transport_and_streets/street_cleansing/public_toilets.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlisle,/,/,Devonshire Walk Car Park,/,/,/,/,/,/,/,/,1,/,/,/,/,/,/,1,1,0,0,No,0,/,/,/,/,/, There is a charge for this service ,,15/03/2014,http://www.carlisle.gov.uk/transport_and_streets/street_cleansing/public_toilets.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlisle,/,/,Bus Station,/,/,/,/,/,/,/,/,/,08.00 - 17.00,17.00 - 08.00,/,/,/,/,1,1,0,/,/,/,/,/,/,/,/, / ,,15/03/2014,http://www.carlisle.gov.uk/transport_and_streets/street_cleansing/public_toilets.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlisle,/,/,Bitts Park,/,/,/,/,/,CA3 8UL,/,/,/,09.00 - Dusk,Dusk - 09.00,/,/,/,/,1,1,0,1,Yes,1,F,/,/,/,/, / ,,15/03/2014,http://www.carlisle.gov.uk/transport_and_streets/street_cleansing/public_toilets.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlisle,/,/,St. Nicholas Bridge,/,/,/,/,/,CA1 2EE,/,/,1,/,/,/,/,/,/,1,1,0,1,/,/,/,/,/,/,/, / ,,15/03/2014,http://www.carlisle.gov.uk/transport_and_streets/street_cleansing/public_toilets.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlisle,/,South Carlisle,"Upperby Park,",/,/,/,/,/,/,/,/,/,09.00 - Dusk,Dusk - 09.00,/,/,/,/,1,1,0,1,Yes,/,/,/,/,/,/, / ,,15/03/2014,http://www.carlisle.gov.uk/transport_and_streets/street_cleansing/public_toilets.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlisle,/,Brampton,Milburn Court,/,/,/,/,/,CA8 1NW,/,/,/,08.30 - 18.00,18.00 - 08.30,/,/,/,/,1,1,0,1,Yes,1,F,/,/,/,/, / ,,15/03/2014,http://www.carlisle.gov.uk/transport_and_streets/street_cleansing/public_toilets.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
