,Toilet Name,Area,Location,Provider,Latitude,Longitude,Eastings,Northings,Postcode,Grid Ref,Location Notes:,24 hours,Open,Closed,Days of the Week open,Open Season - Summer,Closed Season-Winter,Time Notes:,Male,Female,Unisex,Disabled,RADAR,Baby Change,Location of Baby Change,Attendant,Automatic?,Special Provisons,Car Parking, Cost ,Report Problems,Date,Data Collected from,
Hartlepool,/,,"1 Church Street,ÿ",/,/,/,/,/,TS24 7DS,/,/,/,09.00 - 17.00,17.00 - 09.00,/,/,/,/,0,0,1,1,No,1,A,/,/,/,/, No Charge ,/,26/03/2014,FOI,
Middlesbrough,/,Middlesborough,Zetland Multi Story Car Park,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Mon-Sat 7.00am - 7.30pm Sun 8.00-6.00pm (male toilets close at 3.00pm) ,1,1,0,1,Yes,0,/,/,/,/,/, No Charge ,/,22/04/2014,FOI,
Middlesbrough,/,Middlesborough,Captain Cook Multi Story Car Park,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Mon-Sat 7.00am - 7.30pm Sun 8.00-6.00pm (male toilets close at 3.00pm) ,1,1,0,1,Yes,0,/,/,/,/,/, No Charge ,/,22/04/2014,FOI,
Middlesbrough,/,Middlesborough,Middlesbrough Bus Station,/,/,/,/,/,/,/,/,/,05.00 - 00.45,00.45 - 05.00,/,/,/,5.00am - 00.45am,1,1,0,1,No,1,/,/,/,Changing Places,/, No Charge ,/,22/04/2014,FOI,
Middlesbrough,/,Middlesborough,Stewart Park ,/,/,/,/,/,/,/,/,/,09.00 - 17.00,17.00 - 09.00,/,/,/,9.00am - 5.00pm,1,1,0,1,Yes,1,/,/,/,Changing Places,/, No Charge ,/,22/04/2014,FOI,
Middlesbrough,/,Middlesborough,Albert Park,/,/,/,/,/,/,/,/,/,/,/,/,09.00 - 19.00,09.00 - 16.00,Spring: 09.00 - 17.00,1,1,0,1,No,1,/,/,/,/,/, No Charge ,/,22/04/2014,FOI,
Northumberland,/,Alnwick,Alnmouth - Marine Road,/,/,/,/,/,/,/,/,1,/,/,/,/,/,/,1,1,0,1,No,0,/,0,/,/,/, No Charge ,/,15/03/2014,http://www.northumberland.gov.uk/default.aspx?page=3178#parish,
Northumberland,/,Alnwick,The Shambles,/,/,/,/,/,/,/,/,/,06.00 - 18.30,18.30 - 06.00,/,/,/,/,1,1,0,1,Yes,1,/,0,/,/,/, No Charge ,/,15/03/2014,http://www.northumberland.gov.uk/default.aspx?page=3178#parish,
Northumberland,/,Alnwick,Greenwell Road,/,/,/,/,/,/,/,/,1,06.00 - 17.30,17.30 - 06.00,/,/,/,/,1,1,0,1,No,1,/,0,/,/,/, No Charge ,/,15/03/2014,http://www.northumberland.gov.uk/default.aspx?page=3178#parish,
Northumberland,/,Amble,Tourist Information Centre,/,/,/,/,/,/,/,/,/,06.00 - 18.30,18.30 - 06.00,/,/,/,/,1,1,0,1,Yes,1,/,0,/,/,/, No Charge ,/,15/03/2014,http://www.northumberland.gov.uk/default.aspx?page=3178#parish,
Northumberland,/,Amble,Broomhill Street,/,/,/,/,/,/,/,/,/,06.00 -17.30,17.30 - 06.00,/,/,/,/,1,1,0,1,N0,0,/,0,/,/,/, No Charge ,/,15/03/2014,http://www.northumberland.gov.uk/default.aspx?page=3178#parish,
Northumberland,/,Warkworth,New Town Car Park,/,/,/,/,/,/,/,/,/,05.45 - 17.00,17.00 - 05.45,/,/,/,/,1,1,0,1,No,0,/,0,/,/,/, No Charge ,/,15/03/2014,http://www.northumberland.gov.uk/default.aspx?page=3178#parish,
